# Data structure:

# Category, Name, Profile class, geometric data...

# All measures must be in millimeters

# Possible profile classes are: 

# C=  Circular tube
# H=  H- or I-profile
# R=  Rectangular
# RH= Rectangular hollow
# U=  U-profile

# Additional profile types must be implemented in ArchProfile.py first

###########################################

# Circular tube

# Category,Name,C,Outside diameter,Thickness

American Wide Flange,W14x53,H,204.724,353.568,9.398,16.764
American Wide Flange,W14x61,H,253.873,352.806,9.525,16.383
American Wide Flange,W14x68,H,254.889,356.616,10.541,18.288
American Wide Flange,W14x74,H,255.778,359.918,11.43,19.939
American Wide Flange,W14x82,H,257.302,363.474,12.954,21.717
American Wide Flange,W14x90,H,368.808,356.108,11.176,18.034
American Wide Flange,W14x99,H,369.951,359.664,12.319,19.812
American Wide Flange,W14x109,H,370.967,363.728,13.335,21.844
American Wide Flange,W14x120,H,372.618,367.792,14.986,23.876
American Wide Flange,W14x132,H,374.015,372.364,16.383,26.162
American Wide Flange,W16x26,H,139.7,398.526,6.35,8.763
American Wide Flange,W16x31,H,140.335,403.352,6.985,11.176
American Wide Flange,W16x36,H,177.419,402.844,7.493,10.922
American Wide Flange,W16x40,H,177.673,406.654,7.747,12.827
American Wide Flange,W16x45,H,178.689,409.702,8.763,14.351
American Wide Flange,W16x50,H,179.578,413.004,9.652,16.002
American Wide Flange,W16x57,H,180.848,417.322,10.922,18.161
American Wide Flange,W16x67,H,259.969,414.782,10.033,16.891
American Wide Flange,W16x77,H,261.493,419.608,11.557,19.304
American Wide Flange,W16x89,H,263.271,425.45,13.335,22.225
American Wide Flange,W16x100,H,264.795,431.038,14.859,25.019
American Wide Flange,W18x35,H,152.4,449.58,7.62,10.795
American Wide Flange,W18x40,H,152.908,454.66,8.001,13.335
American Wide Flange,W18x46,H,153.924,459.74,9.144,15.367
American Wide Flange,W18x50,H,190.5,457.2,9.017,14.478
American Wide Flange,W18x55,H,191.262,459.74,9.906,16.002
American Wide Flange,W18x60,H,192.024,462.28,10.541,17.653
American Wide Flange,W18x65,H,192.786,467.36,11.43,19.05
American Wide Flange,W18x71,H,194.056,469.9,12.573,20.574
American Wide Flange,W18x76,H,280.416,462.28,10.795,17.272
American Wide Flange,W18x86,H,281.686,467.36,12.192,19.558
American Wide Flange,W18x97,H,283.21,472.44,13.589,22.098
American Wide Flange,W18x106,H,284.48,474.98,14.986,23.876
American Wide Flange,W18x119,H,286.258,482.6,16.637,26.924
American Wide Flange,W21x44,H,165.1,525.78,8.89,11.43
American Wide Flange,W21x50,H,165.862,528.32,9.652,13.589
American Wide Flange,W21x57,H,166.624,535.94,10.287,16.51
American Wide Flange,W21x62,H,209.296,533.4,10.16,15.621
American Wide Flange,W21x68,H,210.058,535.94,10.922,17.399
American Wide Flange,W21x73,H,210.82,538.48,11.557,18.796
American Wide Flange,W21x83,H,212.344,543.56,13.081,21.209
American Wide Flange,W21x93,H,213.868,548.64,14.732,23.622
American Wide Flange,W21x101,H,312.166,543.56,12.7,20.32
American Wide Flange,W21x111,H,313.436,546.1,13.97,22.225
American Wide Flange,W21x122,H,314.706,551.18,15.24,24.384
American Wide Flange,W21x132,H,315.976,553.72,16.51,26.289
American Wide Flange,W21x147,H,317.754,561.34,18.288,29.21
American Wide Flange,W24x55,H,178.054,599.44,10.033,12.827
American Wide Flange,W24x62,H,178.816,601.98,10.922,14.986
American Wide Flange,W24x68,H,227.838,601.98,10.541,14.859
American Wide Flange,W24x76,H,228.6,607.06,11.176,17.272
American Wide Flange,W24x84,H,229.108,612.14,11.938,19.558
American Wide Flange,W24x94,H,230.378,612.14,13.081,22.225
American Wide Flange,W24x104,H,323.85,612.14,12.7,19.05
American Wide Flange,W24x117,H,325.12,617.22,13.97,21.59
American Wide Flange,W24x131,H,327.66,622.3,15.367,24.384
American Wide Flange,W24x146,H,327.66,627.38,16.51,27.686
American Wide Flange,W24x162,H,330.2,635,17.907,30.988
American Wide Flange,W27x84,H,252.984,678.18,11.684,16.256
American Wide Flange,W27x94,H,254,683.26,12.446,18.923
American Wide Flange,W27x102,H,254.508,688.34,13.081,21.082
American Wide Flange,W27x114,H,255.778,693.42,14.478,23.622
American Wide Flange,W27x146,H,355.6,695.96,15.367,24.765
American Wide Flange,W27x161,H,356.108,701.04,16.764,27.432
American Wide Flange,W27x178,H,357.886,706.12,18.415,30.226

# Rectangular

# Category,Name,R,width,height

North America Lumber,1x2in,R,19,28
North America Lumber,1x3in,R,19,64
North America Lumber,1x4in,R,19,89
North America Lumber,1x6in,R,19,89
North America Lumber,1x8in,R,19,140
North America Lumber,1x10in,R,19,184
North America Lumber,1x12in,R,19,286
North America Lumber,2x2in,R,38,38
North America Lumber,2x3in,R,38,64
North America Lumber,2x4in,R,38,89
North America Lumber,2x6in,R,38,140
North America Lumber,2x8in,R,38,184
North America Lumber,2x10in,R,38,235
North America Lumber,2x12in,R,38,286
North America Lumber,4x4in,R,89,89
North America Lumber,4x6in,R,89,140
North America Lumber,6x6in,R,140,140
North America Lumber,8x8in,R,184,184

# Eurocode timber

Eurocode timber,22x100 ,R,22,100
Eurocode timber,38x100,R,38,100
Eurocode timber,38x150,R,38,150
Eurocode timber,38x175,R,38,175
Eurocode timber,38x200,R,38,200
Eurocode timber,38x225,R,38,225
Eurocode timber,47x75,R,47,75
Eurocode timber,47x100,R,47,100
Eurocode timber,47x125,R,47,125
Eurocode timber,47x150,R,47,150
Eurocode timber,47x175,R,47,175
Eurocode timber,47x200,R,47,200
Eurocode timber,47x225,R,47,225
Eurocode timber,47x250,R,47,250
Eurocode timber,47x300,R,47,300
Eurocode timber,63x150,R,63,150
Eurocode timber,63x175,R,63,175
Eurocode timber,63x200,R,63,200
Eurocode timber,63x225,R,63,225
Eurocode timber,75x100,R,75,100
Eurocode timber,75x150,R,75,150
Eurocode timber,75x175,R,75,175
Eurocode timber,75x200,R,75,200
Eurocode timber,75x225,R,75,225
Eurocode timber,75x250,R,75,250
Eurocode timber,75x300,R,75,300
Eurocode timber,100x100,R,100,100
Eurocode timber,100x150,R,100,150
Eurocode timber,100x200,R,100,200
Eurocode timber,100x225,R,100,225
Eurocode timber,100x250,R,100,250
Eurocode timber,100x300,R,100,300
Eurocode timber,150x150,R,150,150
Eurocode timber,150x300,R,150,300
Eurocode timber,300x300,R,300,300

# Rectangular Hollow Section (RHS) profiles

# Category,Name,RH,width,height,thickness

RHS,RHS50x30,RH,50,30,2.9
RHS,RHS50x30,RH,50,30,3.0
RHS,RHS50x30,RH,50,30,3.2
RHS,RHS50x30,RH,50,30,3.6
RHS,RHS50x30,RH,50,30,4.0
RHS,RHS50x30,RH,50,30,5.0
RHS,RHS50x30,RH,50,30,5.6
RHS,RHS50x30,RH,50,30,6.3
RHS,RHS60x40,RH,60,40,2.9
RHS,RHS60x40,RH,60,40,3.0
RHS,RHS60x40,RH,60,40,3.2
RHS,RHS60x40,RH,60,40,3.6
RHS,RHS60x40,RH,60,40,4.0
RHS,RHS60x40,RH,60,40,5.0
RHS,RHS60x40,RH,60,40,5.6
RHS,RHS60x40,RH,60,40,6.3
RHS,RHS60x40,RH,60,40,7.1
RHS,RHS60x40,RH,60,40,8.0
RHS,RHS80x40,RH,80,40,2.9
RHS,RHS80x40,RH,80,40,3.0
RHS,RHS80x40,RH,80,40,3.2
RHS,RHS80x40,RH,80,40,3.6
RHS,RHS80x40,RH,80,40,4.0
RHS,RHS80x40,RH,80,40,5.0
RHS,RHS80x40,RH,80,40,5.6
RHS,RHS80x40,RH,80,40,6.3
RHS,RHS80x40,RH,80,40,7.1
RHS,RHS80x40,RH,80,40,8.0
RHS,RHS90x50,RH,90,50,3.0
RHS,RHS90x50,RH,90,50,3.2
RHS,RHS90x50,RH,90,50,3.6
RHS,RHS90x50,RH,90,50,4.0
RHS,RHS90x50,RH,90,50,5.0
RHS,RHS90x50,RH,90,50,5.6
RHS,RHS90x50,RH,90,50,6.3
RHS,RHS90x50,RH,90,50,7.1
RHS,RHS90x50,RH,90,50,8.0
RHS,RHS90x50,RH,90,50,8.8
RHS,RHS100x50,RH,100,50,3.2
RHS,RHS100x50,RH,100,50,3.6
RHS,RHS100x50,RH,100,50,4.0
RHS,RHS100x50,RH,100,50,5.0
RHS,RHS100x50,RH,100,50,5.6
RHS,RHS100x50,RH,100,50,6.3
RHS,RHS100x50,RH,100,50,7.1
RHS,RHS100x50,RH,100,50,8.0
RHS,RHS100x50,RH,100,50,8.8
RHS,RHS100x50,RH,100,50,10.0
RHS,RHS100x60,RH,100,60,3.2
RHS,RHS100x60,RH,100,60,3.6
RHS,RHS100x60,RH,100,60,4.0
RHS,RHS100x60,RH,100,60,5.0
RHS,RHS100x60,RH,100,60,5.6
RHS,RHS100x60,RH,100,60,6.3
RHS,RHS100x60,RH,100,60,7.1
RHS,RHS100x60,RH,100,60,8.0
RHS,RHS100x60,RH,100,60,8.8
RHS,RHS100x60,RH,100,60,10.0
RHS,RHS120x60,RH,120,60,3.6
RHS,RHS120x60,RH,120,60,4.0
RHS,RHS120x60,RH,120,60,5.0
RHS,RHS120x60,RH,120,60,5.6
RHS,RHS120x60,RH,120,60,6.3
RHS,RHS120x60,RH,120,60,7.1
RHS,RHS120x60,RH,120,60,8.0
RHS,RHS120x60,RH,120,60,8.8
RHS,RHS120x60,RH,120,60,10.0
RHS,RHS120x80,RH,120,80,3.6
RHS,RHS120x80,RH,120,80,4.0
RHS,RHS120x80,RH,120,80,5.0
RHS,RHS120x80,RH,120,80,5.6
RHS,RHS120x80,RH,120,80,6.3
RHS,RHS120x80,RH,120,80,7.1
RHS,RHS120x80,RH,120,80,8.0
RHS,RHS120x80,RH,120,80,8.8
RHS,RHS120x80,RH,120,80,10.0
RHS,RHS150x100,RH,150,100,4.0
RHS,RHS150x100,RH,150,100,5.0
RHS,RHS150x100,RH,150,100,5.6
RHS,RHS150x100,RH,150,100,6.3
RHS,RHS150x100,RH,150,100,7.1
RHS,RHS150x100,RH,150,100,8.0
RHS,RHS150x100,RH,150,100,8.8
RHS,RHS150x100,RH,150,100,10.0
RHS,RHS150x100,RH,150,100,11.0
RHS,RHS150x100,RH,150,100,12.5
RHS,RHS160x80,RH,160,80,4.0
RHS,RHS160x80,RH,160,80,5.0
RHS,RHS160x80,RH,160,80,5.6
RHS,RHS160x80,RH,160,80,6.3
RHS,RHS160x80,RH,160,80,7.1
RHS,RHS160x80,RH,160,80,8.0
RHS,RHS160x80,RH,160,80,8.8
RHS,RHS160x80,RH,160,80,10.0
RHS,RHS160x80,RH,160,80,11.0
RHS,RHS160x80,RH,160,80,12.5
RHS,RHS180x60,RH,180,60,4.0
RHS,RHS180x60,RH,180,60,5.0
RHS,RHS180x60,RH,180,60,5.6
RHS,RHS180x60,RH,180,60,6.3
RHS,RHS180x60,RH,180,60,7.1
RHS,RHS180x60,RH,180,60,8.0
RHS,RHS180x60,RH,180,60,8.8
RHS,RHS180x60,RH,180,60,10.0
RHS,RHS180x60,RH,180,60,11.0
RHS,RHS180x60,RH,180,60,12.5
RHS,RHS180x100,RH,180,100,4.0
RHS,RHS180x100,RH,180,100,5.0
RHS,RHS180x100,RH,180,100,5.6
RHS,RHS180x100,RH,180,100,6.3
RHS,RHS180x100,RH,180,100,7.1
RHS,RHS180x100,RH,180,100,8.0
RHS,RHS180x100,RH,180,100,8.8
RHS,RHS180x100,RH,180,100,10.0
RHS,RHS180x100,RH,180,100,11.0
RHS,RHS180x100,RH,180,100,12.5
RHS,RHS180x100,RH,180,100,14.2
RHS,RHS200x100,RH,200,100,4.0
RHS,RHS200x100,RH,200,100,5.0
RHS,RHS200x100,RH,200,100,5.6
RHS,RHS200x100,RH,200,100,6.3
RHS,RHS200x100,RH,200,100,7.1
RHS,RHS200x100,RH,200,100,8.0
RHS,RHS200x100,RH,200,100,8.8
RHS,RHS200x100,RH,200,100,10.0
RHS,RHS200x100,RH,200,100,11.0
RHS,RHS200x100,RH,200,100,12.5
RHS,RHS200x100,RH,200,100,14.2
RHS,RHS200x100,RH,200,100,16.0
RHS,RHS200x120,RH,200,120,5.0
RHS,RHS200x120,RH,200,120,5.6
RHS,RHS200x120,RH,200,120,6.3
RHS,RHS200x120,RH,200,120,7.1
RHS,RHS200x120,RH,200,120,8.0
RHS,RHS200x120,RH,200,120,8.8
RHS,RHS200x120,RH,200,120,10.0
RHS,RHS200x120,RH,200,120,11.0
RHS,RHS200x120,RH,200,120,12.5
RHS,RHS200x120,RH,200,120,14.2
RHS,RHS200x120,RH,200,120,16.0
RHS,RHS200x150,RH,200,150,5.0
RHS,RHS200x150,RH,200,150,5.6
RHS,RHS200x150,RH,200,150,6.3
RHS,RHS200x150,RH,200,150,7.1
RHS,RHS200x150,RH,200,150,8.0
RHS,RHS200x150,RH,200,150,8.8
RHS,RHS200x150,RH,200,150,10.0
RHS,RHS200x150,RH,200,150,11.0
RHS,RHS200x150,RH,200,150,12.5
RHS,RHS200x150,RH,200,150,14.2
RHS,RHS200x150,RH,200,150,16.0
RHS,RHS220x120,RH,220,120,7.1
RHS,RHS220x120,RH,220,120,8.0
RHS,RHS220x120,RH,220,120,8.8
RHS,RHS220x120,RH,220,120,10.0
RHS,RHS220x120,RH,220,120,11.0
RHS,RHS220x120,RH,220,120,12.5
RHS,RHS220x120,RH,220,120,14.2
RHS,RHS220x120,RH,220,120,16.0
RHS,RHS250x100,RH,250,100,5.0
RHS,RHS250x100,RH,250,100,5.6
RHS,RHS250x100,RH,250,100,6.3
RHS,RHS250x100,RH,250,100,7.1
RHS,RHS250x100,RH,250,100,8.0
RHS,RHS250x100,RH,250,100,8.8
RHS,RHS250x100,RH,250,100,10.0
RHS,RHS250x100,RH,250,100,11.0
RHS,RHS250x100,RH,250,100,12.5
RHS,RHS250x100,RH,250,100,14.2
RHS,RHS250x100,RH,250,100,16.0
RHS,RHS250x150,RH,250,150,5.0
RHS,RHS250x150,RH,250,150,5.6
RHS,RHS250x150,RH,250,150,6.3
RHS,RHS250x150,RH,250,150,7.1
RHS,RHS250x150,RH,250,150,8.0
RHS,RHS250x150,RH,250,150,8.8
RHS,RHS250x150,RH,250,150,10.0
RHS,RHS250x150,RH,250,150,11.0
RHS,RHS250x150,RH,250,150,12.5
RHS,RHS250x150,RH,250,150,14.2
RHS,RHS250x150,RH,250,150,16.0
RHS,RHS260x140,RH,260,140,5.0
RHS,RHS260x140,RH,260,140,5.6
RHS,RHS260x140,RH,260,140,6.3
RHS,RHS260x140,RH,260,140,7.1
RHS,RHS260x140,RH,260,140,8.0
RHS,RHS260x140,RH,260,140,8.8
RHS,RHS260x140,RH,260,140,10.0
RHS,RHS260x140,RH,260,140,11.0
RHS,RHS260x140,RH,260,140,12.5
RHS,RHS260x140,RH,260,140,14.2
RHS,RHS260x140,RH,260,140,16.0
RHS,RHS260x180,RH,260,180,8.0
RHS,RHS260x180,RH,260,180,8.8
RHS,RHS260x180,RH,260,180,10.0
RHS,RHS260x180,RH,260,180,11.0
RHS,RHS260x180,RH,260,180,12.5
RHS,RHS260x180,RH,260,180,14.2
RHS,RHS260x180,RH,260,180,16.0
RHS,RHS300x100,RH,300,100,5.0
RHS,RHS300x100,RH,300,100,5.6
RHS,RHS300x100,RH,300,100,6.3
RHS,RHS300x100,RH,300,100,7.1
RHS,RHS300x100,RH,300,100,8.0
RHS,RHS300x100,RH,300,100,8.8
RHS,RHS300x100,RH,300,100,10.0
RHS,RHS300x100,RH,300,100,11.0
RHS,RHS300x100,RH,300,100,12.5
RHS,RHS300x100,RH,300,100,14.2
RHS,RHS300x100,RH,300,100,16.0
RHS,RHS300x200,RH,300,200,5.0
RHS,RHS300x200,RH,300,200,5.6
RHS,RHS300x200,RH,300,200,6.3
RHS,RHS300x200,RH,300,200,7.1
RHS,RHS300x200,RH,300,200,8.0
RHS,RHS300x200,RH,300,200,8.8
RHS,RHS300x200,RH,300,200,10.0
RHS,RHS300x200,RH,300,200,11.0
RHS,RHS300x200,RH,300,200,12.5
RHS,RHS300x200,RH,300,200,14.2
RHS,RHS300x200,RH,300,200,16.0
RHS,RHS300x250,RH,300,250,6.3
RHS,RHS300x250,RH,300,250,7.1
RHS,RHS300x250,RH,300,250,8.0
RHS,RHS300x250,RH,300,250,8.8
RHS,RHS300x250,RH,300,250,10.0
RHS,RHS300x250,RH,300,250,11.0
RHS,RHS300x250,RH,300,250,12.5
RHS,RHS300x250,RH,300,250,14.2
RHS,RHS300x250,RH,300,250,16.0
RHS,RHS350x150,RH,350,150,5.0
RHS,RHS350x150,RH,350,150,5.6
RHS,RHS350x150,RH,350,150,6.3
RHS,RHS350x150,RH,350,150,7.1
RHS,RHS350x150,RH,350,150,8.0
RHS,RHS350x150,RH,350,150,8.8
RHS,RHS350x150,RH,350,150,10.0
RHS,RHS350x150,RH,350,150,11.0
RHS,RHS350x150,RH,350,150,12.5
RHS,RHS350x150,RH,350,150,14.2
RHS,RHS350x150,RH,350,150,16.0
RHS,RHS350x200,RH,350,200,6.3
RHS,RHS350x200,RH,350,200,7.1
RHS,RHS350x200,RH,350,200,8.0
RHS,RHS350x200,RH,350,200,8.8
RHS,RHS350x200,RH,350,200,10.0
RHS,RHS350x200,RH,350,200,11.0
RHS,RHS350x200,RH,350,200,12.5
RHS,RHS350x200,RH,350,200,14.2
RHS,RHS350x200,RH,350,200,16.0
RHS,RHS350x250,RH,350,250,6.3
RHS,RHS350x250,RH,350,250,7.1
RHS,RHS350x250,RH,350,250,8.0
RHS,RHS350x250,RH,350,250,8.8
RHS,RHS350x250,RH,350,250,10.0
RHS,RHS350x250,RH,350,250,11.0
RHS,RHS350x250,RH,350,250,12.5
RHS,RHS350x250,RH,350,250,14.2
RHS,RHS350x250,RH,350,250,16.0
RHS,RHS400x150,RH,400,150,6.3
RHS,RHS400x150,RH,400,150,7.1
RHS,RHS400x150,RH,400,150,8.0
RHS,RHS400x150,RH,400,150,8.8
RHS,RHS400x150,RH,400,150,10.0
RHS,RHS400x150,RH,400,150,11.0
RHS,RHS400x150,RH,400,150,12.5
RHS,RHS400x150,RH,400,150,14.2
RHS,RHS400x150,RH,400,150,16.0
RHS,RHS400x200,RH,400,200,6.3
RHS,RHS400x200,RH,400,200,7.1
RHS,RHS400x200,RH,400,200,8.0
RHS,RHS400x200,RH,400,200,8.8
RHS,RHS400x200,RH,400,200,10.0
RHS,RHS400x200,RH,400,200,11.0
RHS,RHS400x200,RH,400,200,12.5
RHS,RHS400x200,RH,400,200,14.2
RHS,RHS400x200,RH,400,200,16.0
RHS,RHS400x300,RH,400,300,8.0
RHS,RHS400x300,RH,400,300,8.8
RHS,RHS400x300,RH,400,300,10.0
RHS,RHS400x300,RH,400,300,11.0
RHS,RHS400x300,RH,400,300,12.5
RHS,RHS400x300,RH,400,300,14.2
RHS,RHS400x300,RH,400,300,16.0
RHS,RHS450x150,RH,450,150,8.0
RHS,RHS450x150,RH,450,150,8.8
RHS,RHS450x150,RH,450,150,10.0
RHS,RHS450x150,RH,450,150,11.0
RHS,RHS450x150,RH,450,150,12.5
RHS,RHS450x150,RH,450,150,14.2
RHS,RHS450x150,RH,450,150,16.0
RHS,RHS450x250,RH,450,250,8.0
RHS,RHS450x250,RH,450,250,8.8
RHS,RHS450x250,RH,450,250,10.0
RHS,RHS450x250,RH,450,250,11.0
RHS,RHS450x250,RH,450,250,12.5
RHS,RHS450x250,RH,450,250,14.2
RHS,RHS450x250,RH,450,250,16.0
RHS,RHS500x200,RH,500,200,8.0
RHS,RHS500x200,RH,500,200,8.8
RHS,RHS500x200,RH,500,200,10.0
RHS,RHS500x200,RH,500,200,11.0
RHS,RHS500x200,RH,500,200,12.5
RHS,RHS500x200,RH,500,200,14.2
RHS,RHS500x200,RH,500,200,16.0
RHS,RHS500x300,RH,500,300,8.0
RHS,RHS500x300,RH,500,300,8.8
RHS,RHS500x300,RH,500,300,10.0
RHS,RHS500x300,RH,500,300,11.0
RHS,RHS500x300,RH,500,300,12.5
RHS,RHS500x300,RH,500,300,14.2
RHS,RHS500x300,RH,500,300,16.0


# U-profile

# Category,Name,U,width,height,web thickness,flange thickness

UPE,UPE80,U,80,50,4,7
UPE,UPE100,U,100,55,4.5,7.5
UPE,UPE120,U,120,60,5,8
UPE,UPE140,U,140,65,5,9
UPE,UPE160,U,160,70,5.5,9.5
UPE,UPE180,U,180,75,5.5,10.5
UPE,UPE200,U,200,80,6,11
UPE,UPE220,U,220,85,6.5,12
UPE,UPE240,U,240,90,7,12.5
UPE,UPE270,U,270,95,7.5,13.5
UPE,UPE300,U,300,100,9.5,15
UPE,UPE330,U,330,105,11,16
UPE,UPE360,U,360,110,12,17
UPE,UPE400,U,400,115,13.5,18
